tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt9900782,movie,Kaithi,Kaithi,0,2019,\N,145,"Action,Crime,Thriller",8.4,45827
tt9893250,movie,I Care a Lot,I Care a Lot,0,2020,\N,118,"Comedy,Crime,Drama",6.4,152367
tt9881586,movie,Rascal Does Not Dream of a Dreaming Girl,Seishun buta yaro wa yumemiru shoujo no yume wo minai,0,2019,\N,89,"Animation,Drama,Fantasy",8.2,7404
tt9866072,movie,Holidate,Holidate,0,2020,\N,104,"Comedy,Romance",6.2,83601
tt9844522,movie,Escape Room: Tournament of Champions,Escape Room: Tournament of Champions,0,2021,\N,88,"Action,Adventure,Horror",5.7,63680
tt9784798,movie,Judas and the Black Messiah,Judas and the Black Messiah,0,2021,\N,126,"Biography,Drama,History",7.4,94161
tt9783600,movie,Spiderhead,Spiderhead,0,2022,\N,106,"Action,Crime,Drama",5.5,68776
tt9777666,movie,The Tomorrow War,The Tomorrow War,0,2021,\N,138,"Action,Adventure,Drama",6.6,237762
tt9777644,movie,Da 5 Bloods,Da 5 Bloods,0,2020,\N,154,"Adventure,Drama,War",6.5,56001
tt9770150,movie,Nomadland,Nomadland,0,2020,\N,107,Drama,7.3,190921
tt9764362,movie,The Menu,The Menu,0,2022,\N,107,"Comedy,Horror,Thriller",7.2,440821
tt9701940,movie,Fear Street: Part Two - 1978,Fear Street: 1978,0,2021,\N,109,"Drama,Horror,Mystery",6.7,81762
tt9686708,movie,The King of Staten Island,The King of Staten Island,0,2020,\N,136,"Comedy,Drama",7.1,79093
tt9663764,movie,Aquaman and the Lost Kingdom,Aquaman and the Lost Kingdom,0,2023,\N,124,"Action,Adventure,Fantasy",5.6,103615
tt9639470,movie,Last Night in Soho,Last Night in Soho,0,2021,\N,116,"Drama,Horror,Mystery",7,188723
tt9637132,movie,Samrat Prithviraj,Samrat Prithviraj,0,2022,\N,135,"Action,Drama,History",5.6,53712
tt9620292,movie,Promising Young Woman,Promising Young Woman,0,2020,\N,113,"Crime,Drama,Mystery",7.5,222007
